Order ID	Job ID	Job Name	Job Description	Proof Image URL

38452	2949	tshirt	"Color: green or blue. Text color: yellow or white. Text on front: ""MMM  COLLECT LIKE TERMS!"" Text on back: HOW QUICKLY WE FORGET."
38454	2950	Shirts	""
38454	2951	Bags	""
38454	2952	Hats	""
38470	2953	Maplewood Lanes Reprint	""
38547	2970	Follow-up	""	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/1093/Dana-Lutzo-THE-MAJOR-WOODY-TEES-FOLLOW-UP.jpg
38572	2978	Starkid	""
38613	2982	tshirts	"Front: Dymond Harding and picture
Back: 
Single
""Selfish Love""
Available...."	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/1223/Rickey-Harding-DYMOND-HARDING-TEES.jpg	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/1225/Rickey-Harding-DYMOND-HARDING-TEES.jpg
38730	2988	Friends of Notre Dame Order 12	""
38738	2990	shirts	"Front: 
Know Pain? 
Big Question mark

Back
Know...
Ask me now
Find"
38906	2996	Rocket Attack	Long sleeve tees with black print on back.
39012	3020	Birthday Shirt	""
39063	3034	Lovelace Movie Shirts	""
39223	3043	tshirts	""
39277	3053	shirt	""
39308	3063	tshirts	Number 20 and 23 onto tshirts
39313	3069	1 More AWOL Shirt	American Apparel army XL. Same print as always.
39320	3073	Hoody	"black hoody  full zip
Front left chest: white and pink star
Back: Batman and Robin My Little ponies"
39373	3081	NYE Bill	""
39374	3082	NYE Bill	""
39375	3083	NYE Bill	""
39376	3084	NYE Bill	""
39377	3085	NYE Bill	""
39378	3086	NYE Bill	""
39379	3087	NYE Bill	""
39380	3088	NYE Bill	""
39381	3089	NYE Bill	""
39382	3090	NYE Bill	""
39408	3092	Fleeces	""
39512	3094	tshirt	Text and Voldemort art
40128	3202	shirt	""
39583	3105	Campus View	""
39583	3106	Hawk's Pointe	""
39583	3107	Woodland Mews	""
39583	3108	Harbor House	""
39665	3119	Provided Lab coats	"3 with no collar 
4 with collar"
39710	3128	shirt	""
39804	3137	jersey	"sinkin shanties art on front
back: 96 in white 

Size large

Gear Contrasting Color Senior Hockey Practice Jersey"
39857	3164	tshirt	needed March 16th. used to go with the printer called red paint. Going with us because of the business school project
39994	3196	onesie and tshirt	print one side only
40131	3203	tshirts	"Front: Logo art
Back: AATC Logo
Got Foos?"
40336	3213	hats	""
40401	3222	tshirt	"F B  both sleeves

Use same art as BuckSnort Racing job"
40403	3223	thsirts	Same print as previous order
40416	3228	shirts	same art as previous job
40644	3250	whitney shirt	""
40657	3261	Tradewinds Fleece Sample	$20 deposit.
40701	3270	tshirt	"front:warthog  fence and
""Touch the fence  I DARE YA!"""
40763	3271	tshirt	""
40763	3272	Starkid Merch	""
40786	3280	Honey Badgers White Jerseys	""
40786	3281	Honey Badgers Black Jerseys	""
40786	3298	Honey Badgers Hoodies and Tees	Black apparel with Honey Badger print on front.
40878	3299	Tshirts	Front only: big print. A bunch of colors. RYO is Banned
40924	3306	Pharewell Philwaukee	""	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/1637/pharewell_philwaukee.jpg
39563	3318	Hats	with Neighborhood Senior Services logo on front
41106	3327	tshirts	"Front: pic of Josh hutcherson with girl and background removed.
Peeta Pit with arrow pointing down.
Back: no print"
41113	3331	sweatpants	""
41124	3342	Track Jackets without names	""
41135	3337	tshirt	"Front: Powerhouse Logo only with Cannon's instead of Powerhouse
white image 
under Gym: Plymouth  MI"
41124	3341	Track Jackets with names	""
41124	3343	Hoodies with Names	""
41124	3344	Hoodies without Names	""
41175	3353	Navy Hockey Jersey	""
41179	3365	tshirt	print on front only
41186	3369	tank	"front: Block M Superman

Back: NA ZDROWIE"
41233	3375	tshirts	""
41236	3377	RJ Tank	Black tank with white ink on front and back.
41257	3381	bags	""
41263	3388	Blank Goods (No Print)	Blank Goods (No Print)
41266	3390	tshirts	""
41365	3397	Holy Musical B@man Hoodies	""
41414	3407	starkid stuff	""
41469	3414	jacket	""
41471	3415	Purple Shirts with Orange Print	Purple Shirts with Orange Print
41471	3416	Orange Shirts with Purple Print	Orange Shirts with Purple Print
41472	3417	DM Buttons	50 buttons for DM Planning.	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/1841/DM_Planning.jpg
41540	3438	Onesie	print on front and back
41541	3439	Imported from Detroit	""	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/1885/Debra-Domagalski-IMPORTED-FROM-DETROIT.jpg
41586	3452	jackets	""
41592	3454	Track Jackets	blank
41607	3459	Sweatpants	white print on leg
41608	3461	Sample	""
41610	3462	Polos and Oxfords	Front: Arborside Logo on left chest
41654	3468	Ann Arbor Pizza & Subs	""
41739	3498	Presale Tees and Totes	""
41767	3507	Honey Badger's Hoodie Redos	""
41791	3526	Lucky Charms Tees	""
41855	3545	tshirts	""
41866	3551	hoodies	no print
42752	3592	Beige Buttons	BDelhi Hut Logo  phone number  and website
42752	3591	Black Buttons	Big Buttons.  Delhi Hut Logo website and phone number
43528	3616	Bandannas	: I will supply like always.
43660	3619	Blank Polo	""
44197	3621	Assorted Garments	Front: Same art as last order
44289	3634	WSU Secular Student	"Forest Green Gildan 5000

Logo on front"
45127	3656	Polos	"Front  left chest: 
65th Glengarry 
Highland Games
((Crest))
Clan Munro"
45161	3657	tshirt	Front:
43528	3662	Thongs	Black print on crotch of light pink thong.	http://s3.amazonaws.com/admin.annarbortshirtcompany.com/proof_images/2245/George-Vlahakis-PURPLE-HASH-THONGS.jpg
47801	3677	tanks	Front: JCM Logo
47806	3680	straights gardens	""
47810	3684	Euroballers: Part 2	"Gildan 18500 Red 2XL
Gildan G5400 Red 2XL
--Black Artwork

Gildan 18500 Black 2XL
Gildan G5400 Black 2XL
--White Artwork

Gildan 18500 White 2XL
Gildan G5400 White 2XL
--Black Artwork"
47827	3698	Leo's Coney Island	"Gildan 5000; 24 shirts total Multiple colors
Multiple with White Ink
Multiple with Marine (Blue) ink

 Gildan 8800; multiple colors
   Just Leo's Coney Island writing
  White Ink"
47827	3699	Leo's Coney Island T-Shirts: Marine Ink	G5000 Assorted Colors: Marine Ink
47829	3702	Hoodies	""
47831	3703	polos	""
47836	3705	KKY outstanding	"6 sapphire blue gildan 2000

K K Y  (Kappa Kappa Psi) greek letters
Outstanding

Black Letters"
47847	3714	tshirts	"Front:
Back:"
47849	3717	M Salsa	"Red Gildan 2000; Front/ Back print
Art in system"
47863	3732	Front Only	Front Only
47863	3731	Front and Back Print	Front and Back Print
47886	3736	Paragon follow-up	""
47887	3737	Corn Fed	"White XXL 

Gildan 5000


Corn Fed Ebay Design"
47894	3741	Cannon Blank Pullover	"3XL (XXXL) pullover
Navy

Adidas A47"
47896	3745	Art for t-shirt	"Make art for t-shirts  Bella 6004  white
2 colors: black  medium blue glitter
As well as 3 colors  medium blue glitter  black  and yellow for in the middle of the daisies
For teenage girls"
47900	3747	Ann Arbor Storm Reprint	"Gildan 9500
Sport Grey"
47946	3778	T-shirts	Front: Notepad and text
47964	3788	Nature's Answer	"10 White Gildan 5000
design on front only
    420
    is 
  natures 
   answer
    Logo

Make sure that ""420"" is large and visible"
48567	3795	Various Garments w/unique names	""
48567	3796	Various garments w/ no unique names	""
48569	3798	tshirts	Front: A Heart for Animals
